Max Component Size,Compute Time (s),runScen2_2Random,,,,
6,0.0002289,,6,0.000242901,,6
6,0.0002344,,,,,
6,0.0002646,,,,,
6,0.0002501,,,,,
6,0.0002294,,,,,
6,0.0002304,,,,,
6,0.0002263,,,,,
6,0.0002394,,,,,
6,0.0002351,,,,,
6,0.0002363,,,,,
6,0.0002379,,,,,
6,0.0002326,,,,,
6,0.0003045,,,,,
6,0.0002322,,,,,
6,0.0002293,,,,,
6,0.0002306,,,,,
6,0.0002501,,,,,
6,0.0002278,,,,,
6,0.0002395,,,,,
6,0.0002288,,,,,
6,0.0002335,,,,,
6,0.0002286,,,,,
6,0.0002313,,,,,
6,0.0002531,,,,,
6,0.0002298,,,,,
6,0.0002489,,,,,
6,0.0002358,,,,,
6,0.0002877,,,,,
6,0.0002289,,,,,
6,0.0002315,,,,,
6,0.0002378,,,,,
6,0.0002348,,,,,
6,0.0002303,,,,,
6,0.0002387,,,,,
6,0.0002316,,,,,
6,0.0002371,,,,,
6,0.0002378,,,,,
6,0.000395,,,,,
6,0.0003033,,,,,
6,0.0002439,,,,,
6,0.0003002,,,,,
6,0.0002387,,,,,
6,0.0002389,,,,,
6,0.0002723,,,,,
6,0.0002655,,,,,
6,0.0002328,,,,,
6,0.000231,,,,,
6,0.0003116,,,,,
6,0.0002294,,,,,
6,0.0002388,,,,,
6,0.0002322,,,,,
6,0.0002343,,,,,
6,0.0002388,,,,,
6,0.0002323,,,,,
6,0.0002486,,,,,
6,0.0002357,,,,,
6,0.0002344,,,,,
6,0.0002531,,,,,
6,0.0002323,,,,,
6,0.0002362,,,,,
6,0.0002307,,,,,
6,0.0002336,,,,,
6,0.0002382,,,,,
6,0.0002385,,,,,
6,0.0002602,,,,,
6,0.0002357,,,,,
6,0.000234,,,,,
6,0.0002406,,,,,
6,0.0002305,,,,,
6,0.0002788,,,,,
6,0.0003001,,,,,
6,0.0002452,,,,,
6,0.0002788,,,,,
6,0.0002686,,,,,
6,0.0002443,,,,,
6,0.0003905,,,,,
6,0.0002496,,,,,
6,0.0002642,,,,,
6,0.000243,,,,,
6,0.0002472,,,,,
6,0.0002453,,,,,
6,0.0002411,,,,,
6,0.0002342,,,,,
6,0.0002369,,,,,
6,0.000232,,,,,
6,0.0002385,,,,,
6,0.0002378,,,,,
6,0.0002664,,,,,
6,0.0002341,,,,,
6,0.0002368,,,,,
6,0.0002428,,,,,
6,0.0002279,,,,,
6,0.0002273,,,,,
6,0.0002253,,,,,
6,0.0002311,,,,,
6,0.0002737,,,,,
6,0.0002539,,,,,
6,0.0002277,,,,,
6,0.0002335,,,,,
6,0.0002296,,,,,
6,0.0002317,,,,,
6,0.0002271,,,,,
6,0.0002287,,,,,
6,0.0002356,,,,,
6,0.0002379,,,,,
6,0.0002301,,,,,
6,0.0002298,,,,,
6,0.0002287,,,,,
6,0.0002314,,,,,
6,0.000236,,,,,
6,0.0002362,,,,,
6,0.0002303,,,,,
6,0.0002291,,,,,
6,0.0002284,,,,,
6,0.0002594,,,,,
6,0.0002297,,,,,
6,0.0002336,,,,,
6,0.0002286,,,,,
6,0.0002362,,,,,
6,0.0002359,,,,,
6,0.0002371,,,,,
6,0.0002289,,,,,
6,0.0002279,,,,,
6,0.0002293,,,,,
6,0.0002796,,,,,
6,0.0002398,,,,,
6,0.0002336,,,,,
6,0.000229,,,,,
6,0.0002325,,,,,
6,0.000234,,,,,
6,0.0002368,,,,,
6,0.0002358,,,,,
6,0.0002306,,,,,
6,0.0002488,,,,,
6,0.0002277,,,,,
6,0.0002363,,,,,
6,0.0002362,,,,,
6,0.0002295,,,,,
6,0.0002337,,,,,
6,0.0002347,,,,,
6,0.0002343,,,,,
6,0.0002285,,,,,
6,0.0002308,,,,,
6,0.0002336,,,,,
6,0.0002732,,,,,
6,0.0002339,,,,,
6,0.0002296,,,,,
6,0.000235,,,,,
6,0.0002421,,,,,
6,0.0002669,,,,,
6,0.0002513,,,,,
6,0.0002364,,,,,
6,0.0002301,,,,,
6,0.0002321,,,,,
6,0.000278,,,,,
6,0.0002347,,,,,
6,0.0002362,,,,,
6,0.0002306,,,,,
6,0.0002337,,,,,
6,0.0002264,,,,,
6,0.000229,,,,,
6,0.0002368,,,,,
6,0.0002502,,,,,
6,0.0002361,,,,,
6,0.0002878,,,,,
6,0.0002519,,,,,
6,0.0002358,,,,,
6,0.0002286,,,,,
6,0.000233,,,,,
6,0.0002817,,,,,
6,0.00024,,,,,
6,0.0002296,,,,,
6,0.0002299,,,,,
6,0.0002395,,,,,
6,0.0002694,,,,,
6,0.0002333,,,,,
6,0.0002283,,,,,
6,0.0002352,,,,,
6,0.0002663,,,,,
6,0.0002511,,,,,
6,0.0002322,,,,,
6,0.0002359,,,,,
6,0.0002315,,,,,
6,0.0002333,,,,,
6,0.0003827,,,,,
6,0.0002379,,,,,
6,0.0002301,,,,,
6,0.0002491,,,,,
6,0.0002343,,,,,
6,0.0002365,,,,,
6,0.0002299,,,,,
6,0.0002352,,,,,
6,0.0002482,,,,,
6,0.0002338,,,,,
6,0.0002356,,,,,
6,0.0002285,,,,,
6,0.0002361,,,,,
6,0.0002286,,,,,
6,0.000234,,,,,
6,0.0002367,,,,,
